1053;1158;982;1274
32;1242;1014;1248
509;593;608;1074
620;1145;969;1184
16;1179;858;1246
410;486;972;1289
425;401;500;1020
1094;1068;972;1120
1009;1288;1143;1236
563;1268;1134;1001
186;1160;1092;943
1141;1270;953;1203
1067;1065;1192;997
163;882;991;992
163;991;882;1178
1079;1023;1285;1237
820;974;1150;1296
1182;1099;1118;1083
1216;1127;187;998
1227;1162;1053;1072
1030;994;1051;1109
148;1161;1072;1253
606;598;515;1264
428;1117;756;1167
637;679;1125;1243
387;347;311;1102
1193;1100;1214;1234
492;946;1120;1197
1054;1013;1143;1288
1059;1006;1192;971
1070;1143;1054;1013
1069;1063;1014;1292
1059;1076;1136;1166
1195;410;1289;1198
1069;1063;1012;1202
786;1235;743;976
1104;1043;1195;1008
280;1130;1191;1286
1073;1211;1145;1259
16;853;1062;981
357;1104;360;1206
1070;1157;1143;1013
562;1100;1193;1234
413;953;1141;1270
1225;1140;188;1045
637;712;1196;1125
1050;1061;981;1280
978;1004;731;1296
985;944;840;1165
669;668;621;1260
147;836;14;1221
1162;972;1051;1008
1028;996;987;1019
1028;1136;1055;1166
17;175;1143;1242
13;1093;1161;1253
394;1162;1117;1198
705;622;717;1228
489;949;1093;1161
1150;1296;990;1060
1050;981;1062;1280
488;1094;422;1261
869;1288;1009;1236
1011;1200;1144;1075
154;1092;1121;1220
510;562;559;1270
1131;1063;1199;1239
1028;987;1136;967
1227;29;1030;1293
702;626;1102;1042
1069;1110;1063;1202
991;992;707;1178
358;1219;1200;1075
1126;964;1062;1060
1066;1150;1062;1201
560;957;1276;1057
990;1296;1084;1060
439;460;1030;1293
671;666;620;1145
562;1193;1047;1269
1131;1110;1063;1239
518;1214;594;1234
387;970;1035;1272
852;146;15;1186
1225;1216;1021;1257
1067;1177;961;1017
1118;994;1099;1248
679;1096;1243;1264
1036;969;1170;1132
1047;1193;355;1269
924;1034;168;1256
1232;974;1003;1208
285;987;197;1251
1110;1118;1063;1239
1187;1291;1007;1210
357;312;1104;1207
1096;1121;1092;1220
1069;1291;1012;1292
146;837;15;1071
385;1011;1214;1129
146;1225;15;1186
748;1126;1031;1108
15;852;1186;1140
291;357;1112;1206
1059;1092;1136;1076
1059;1124;1121;1006
893;979;894;1212
183;957;1164;1057
555;533;608;1074
553;594;1214;973
1219;1284;1052;1128
1216;1056;1183;1021
404;1037;449;1282
1092;1059;1136;1294
188;1216;187;1140
164;977;1085;1119
975;1181;1079;1237
661;638;701;1016
143;1151;1172;1263
1118;1008;1051;1284
899;174;904;994
1092;1116;1121;1294
261;996;1191;1019
1085;961;1107;1177
1130;1286;998;1033
1158;976;982;1274
1216;1056;1124;1244
637;1196;698;1230
14;1072;1138;1266
641;1133;1096;1264
1192;997;680;999
398;972;1068;1120
1187;1145;711;1259
1034;1256;602;1074
419;484;414;1293
1066;1154;1031;1108
1227;1072;29;1293
170;1028;169;1019
165;1029;915;1277
394;1162;459;1117
173;1227;29;994
680;1192;632;997
748;815;1126;1108
1061;1050;981;1173
928;1092;186;1294
898;1143;899;1157
562;1193;518;1234
27;929;1136;987
1195;1162;436;1198
502;1100;562;1234
604;1250;534;1268
1037;1168;1089;1238
189;1130;254;1205
1131;1199;1235;1239
1037;1270;1047;1282
1051;1094;972;1120
1143;1157;1070;1128
787;765;976;1246
870;17;153;1143
146;1225;981;1045
879;991;882;992
464;419;1072;1161
1077;1149;999;1016
987;1218;281;1251
679;1096;1125;1243
1182;1118;1227;1083
853;849;1172;1186
761;1023;818;976
1073;1145;1146;1210
456;1037;1141;1197
1119;1291;1069;1292
291;1112;359;966
840;985;839;944
961;1106;1187;1291
944;949;489;1161
243;219;661;1016
1213;1291;1069;1017
1183;961;1003;1281
1146;1145;1073;1211
186;1136;1092;1160
629;678;711;1145
291;358;1219;966
923;1250;1245;1256
603;1038;521;1290
11;1229;979;1233
436;410;1195;1198
1124;1127;1216;1244
313;1175;1112;1206
1029;915;1277;1189
629;678;1145;1259
1062;1150;1066;1060
199;1273;250;1249
1044;1289;410;1198
918;1245;923;1250
1070;1144;1236;1128
498;1164;957;1057
1187;1106;1007;1291
1053;1161;1093;1253
1222;1012;1291;1292
612;711;1187;1145
167;1256;924;1276
1182;1095;1235;1239
17;153;175;1116
153;176;175;1116
29;1072;14;1266
475;372;1044;1267
262;792;1185;1101
637;679;712;1125
302;348;355;1282
1222;1012;1215;1291
1072;1161;1053;1253
839;985;840;1165
209;252;987;1001
656;1065;995;997
1028;971;1059;1166
280;1130;256;1019
932;1127;927;1294
698;632;654;1230
1098;1168;1030;1120
648;1036;624;1132
1059;1121;1196;1006
1063;1012;1222;1292
1020;1022;425;1091
276;807;1084;978
953;1142;954;1203
826;816;733;949
1096;1133;19;1220
